Time,GuHCl_Denature_A214,GuHCl_Denature_A280,Histone_A214,Histone_A280,Histone_Heat_Denatured_A214,Histone_Heat_Denatured_A280,GuHCl_Refolded_A214,GuHCl_Refolded_A280,SEC_Standard_A214,SEC_Standard_A280
0.7641666667,-12.86220551,-0.5340576172,-3.395080566,0.1530647278,-0.563621521,0.1106262207,-0.7719993591,0.0638961792,0.7076263428,0.4825592041
0.7708333333,-12.38822937,-0.5345344543,-3.400802612,0.1492500305,-0.5555152893,0.1130104065,-0.780582428,0.06580352783,0.771522522,0.4892349243
0.7775,-11.90853119,-0.5350112915,-3.427505493,0.1435279846,-0.5431175232,0.1125335693,-0.7696151733,0.07009506226,0.8263587952,0.497341156
0.7841666667,-11.44075394,-0.5350112915,-3.458023071,0.1397132874,-0.5397796631,0.1130104065,-0.7734298706,0.07343292236,0.8687973022,0.5068778992
0.7908333333,-10.97011566,-0.5331039429,-3.492832184,0.1382827759,-0.5288124084,0.1139640808,-0.7944107056,0.07677078247,0.8850097656,0.515460968
0.7975,-10.51807404,-0.5297660828,-3.499507904,0.1406669617,-0.5240440369,0.1139640808,-0.8306503296,0.07915496826,0.8883476257,0.5240440369
0.8041666667,-10.07318497,-0.5269050598,-3.507614136,0.1449584961,-0.5226135254,0.1101493835,-0.8635520935,0.08010864258,0.8873939514,0.53358078
0.8108333333,-9.637832642,-0.5254745483,-3.508090973,0.1502037048,-0.5145072937,0.1072883606,-0.8945465088,0.07915496826,0.8687973022,0.5431175232
0.8175,-9.202957153,-0.5264282227,-3.50856781,0.1554489136,-0.4987716675,0.1058578491,-0.9412765503,0.07772445679,0.8463859558,0.5531311035
0.8241666667,-8.761405945,-0.5283355713,-3.503322601,0.1583099365,-0.4758834839,0.1049041748,-0.9698867798,0.07581710815,0.8134841919,0.560760498
0.8308333333,-8.31413269,-0.5307197571,-3.486633301,0.1592636108,-0.4706382751,0.102519989,-0.9660720825,0.07200241089,0.7996559143,0.5688667297
0.8375,-7.849693298,-0.5307197571,-3.494262695,0.1578330994,-0.4782676697,0.1006126404,-0.9393692017,0.06675720215,0.7944107056,0.5769729614
0.8441666667,-7.389068604,-0.5302429199,-3.504753113,0.1549720764,-0.4906654358,0.1015663147,-0.9179115295,0.06341934204,0.7843971252,0.5841255188
0.8508333333,-6.928443909,-0.5288124084,-3.518104553,0.1516342163,-0.5097389221,0.1049041748,-0.9098052979,0.06246566772,0.7719993591,0.590801239
0.8575,-6.467819214,-0.5249977112,-3.518104553,0.1482963562,-0.5226135254,0.1096725464,-0.8897781372,0.06294250488,0.7629394531,0.5960464478
0.8641666667,-6.012916565,-0.5197525024,-3.520488739,0.1463890076,-0.5412101746,0.114440918,-0.8850097656,0.06437301636,0.7810592651,0.6022453308
